CRN,Course #,Sc,Title,Attribute,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
30073,ASTR 002,1,PLANETS & SPACE EXPLORATION,SP,1.00,60,64,Charles Agosta,TR,10:25 AM - 11:40 AM,S121,WEEKLY EVENING OBSERVATION HOURS REQUIRED,N
31624,BAN 104,1,INTRO TO MGMT INFO SYSTEMS,FA,1.00,30,32,Jing Zhang,"TR

F","10:25 AM - 11:40 AM

10:00 AM - 10:50 AM","CH128

JC105",,N
32333,BCMB 131,1,RECOMBINANT DNA,,1.00,14,8,Denis Larochelle,MT,01:25 PM - 05:00 PM,B120,P=BIOL 101 & CHEM 101 OR CHEM 103,N
30118,BCMB 264,1,BIOPHYSICAL CHEMISTRY,,1.00,20,18,Noel Lazo,TR,09:00 AM - 10:15 AM,S321,P=BCMB 271 & MATH 120 OR 124; MUST REG FOR LAB,N
30119,BCMB 264,901,LAB: BIOPHYSICAL CHEMISTRY,,0.00,10,11,Noel Lazo,T,01:25 PM - 05:30 PM,BP310,,N
30488,BCMB 264,902,LAB: BIOPHYSICAL CHEMISTRY,,0.00,10,7,Noel Lazo,R,01:25 PM - 05:30 PM,BP310,,N
30122,BCMB 272,1,BIOCHEMISTRY II,,1.00,36,24,Arundhati Nag,"F

MW","03:00 PM - 04:50 PM

12:00 PM - 01:15 PM","S321

S321",P=BCMB 271; CHEM 132 OR 134,N
33801,BCMB 276,1,CHEM'L BIO-TEC & APPS IN RSRCH,,1.00,16,13,Arundhati Nag,MW,04:15 PM - 05:30 PM,S122,P=BCMB 271 OR PERM; SRS ONLY,N
33803,BCMB 277,1,ENZYME REACTION MECHANISMS,,1.00,16,15,Don Spratt,TR,10:25 AM - 11:40 AM,S122,P=BCMB 271,N
30027,BCMB 297,1,HONORS,,1.00,10,0,Shuanghong Huo,-,-,-,,Y
30028,BCMB 297,2,HONORS,,1.00,10,1,Denis Larochelle,-,-,-,,Y
30029,BCMB 297,3,HONORS,,1.00,10,0,Noel Lazo,-,-,-,,Y
30742,BCMB 297,5,HONORS,,1.00,10,0,Don Spratt,-,-,-,,Y
30994,BCMB 297,6,HONORS,,1.00,10,0,Arundhati Nag,-,-,-,,Y
30385,BCMB 297,7,HONORS,,1.00,10,0,Charles Jakobsche,-,-,-,,Y
30624,BCMB 297,8,HONORS,,1.00,10,0,Sergio Granados-Focil,-,-,-,,Y
30628,BCMB 297,9,HONORS,,1.00,10,0,Justin Thackeray,-,-,-,,Y
34252,BCMB 297,10,HONORS,,1.00,10,2,Neva Meyer,-,-,-,,Y
30312,BCMB 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30446,BCMB 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30533,BCMB 317,1,RESEARCH,,Var,10,0,Charles Jakobsche,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30563,BCMB 317,2,RESEARCH,,Var,10,1,Noel Lazo,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30848,BCMB 317,3,RESEARCH,,Var,10,1,Arundhati Nag,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30854,BCMB 317,4,RESEARCH,,Var,10,0,Deborah Robertson,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
31048,BCMB 317,5,RESEARCH,,Var,10,4,Don Spratt,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32675,BCMB 317,6,RESEARCH,,Var,10,1,Shuanghong Huo,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30120,BCMB 364,1,BIOPHYSICAL CHEMISTRY,,1.00,20,18,Noel Lazo,TR,09:00 AM - 10:15 AM,S321,P=BCMB 371 OR CHEM 371; MUST REG FOR LAB,N
30121,BCMB 364,901,LAB: BIOPHYSICAL CHEMISTRY,,0.00,10,11,Noel Lazo,T,01:25 PM - 05:30 PM,BP310,,N
30489,BCMB 364,902,LAB: BIOPHYSICAL CHEMISTRY,,0.00,10,7,Noel Lazo,R,01:25 PM - 05:30 PM,BP310,,N
30123,BCMB 372,1,BIOCHEMISTRY II,,1.00,36,24,Arundhati Nag,"F

MW","03:00 PM - 04:50 PM

12:00 PM - 01:15 PM","S121

S121",P=BCMB 371,N
33802,BCMB 376,1,CHEM'L BIO-TEC & APPS IN RSRCH,,1.00,16,13,Arundhati Nag,MW,04:15 PM - 05:30 PM,S122,P=BCMB 271,N
33805,BCMB 377,1,ENZYME REACTION MECHANISMS,,1.00,16,15,Don Spratt,TR,10:25 AM - 11:40 AM,S122,P=BCMB 371,N
32673,BCMB 394,1,DISSERTATION WRITING,,Var,10,0,Shuanghong Huo,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30476,BCMB 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
31626,BCOM 170,1,MANAGERIAL COMMUNICATIONS,,1.00,30,28,Karen Torti,TR,04:15 PM - 05:30 PM,TC112,,N
33508,BIOL 060,1,NATURAL HISTORY OF NEW ENGLAND,"FYI

SP",1.00,16,10,Mandy Gaudreau,"MW

W

F","12:00 PM - 01:15 PM

01:30 PM - 02:20 PM

09:00 AM - 11:40 AM","B151

TC107

B151",FIRST YEAR INTENSIVE: SEATS RESERVED FOR INCOMING 1ST YR STUDENTS; CONTINUING 1ST YRS MUST GET CAPACITY OVERRIDE*,N
30153,BIOL 084,1,BIODIVERSITY,SP,1.00,32,32,Elizabeth Bone,MWF,11:00 AM - 11:50 AM,B124,MUST REG FOR LAB,N
31844,BIOL 084,901,LAB: BIODIVERSITY,SP,0.00,16,16,Elizabeth Bone,F,12:00 PM - 01:15 PM,B124,,N
31940,BIOL 084,902,LAB: BIODIVERSITY,SP,0.00,16,16,Elizabeth Bone,F,12:00 PM - 01:15 PM,B112,,N
30129,BIOL 102,1,INTRO TO BIOLOGY II,SP,1.00,55,46,Deborah Robertson,MWF,10:00 AM - 10:50 AM,B237,MUST REG FOR LAB,N
32516,BIOL 102,2,INTRO TO BIOLOGY II,SP,1.00,40,39,"David Hibbett, Neva Meyer",MWF,11:00 AM - 11:50 AM,B237,MUST REG FOR LAB,N
30130,BIOL 102,901,LAB: INTRO TO BIOLOGY II,SP,0.00,16,13,Mandy Gaudreau,M,01:25 PM - 04:10 PM,B151,,N
30131,BIOL 102,902,LAB: INTRO TO BIOLOGY II,SP,0.00,16,13,Mandy Gaudreau,M,06:00 PM - 08:45 PM,B151,,N
30132,BIOL 102,903,LAB: INTRO TO BIOLOGY II,SP,0.00,16,16,Mandy Gaudreau,T,01:25 PM - 04:10 PM,B151,,N
30133,BIOL 102,904,LAB: INTRO TO BIOLOGY II,SP,0.00,16,13,Mandy Gaudreau,T,06:00 PM - 08:45 PM,B151,,N
30134,BIOL 102,905,LAB: INTRO TO BIOLOGY II,SP,0.00,16,15,Mandy Gaudreau,R,09:00 AM - 11:45 AM,B151,,N
30135,BIOL 102,906,LAB: INTRO TO BIOLOGY II,SP,0.00,16,15,Mandy Gaudreau,R,01:25 PM - 04:10 PM,B151,,N
30701,BIOL 105,1,EVOLUTION,,1.00,36,36,Erin McCullough,MWF,12:00 PM - 12:50 PM,B237,P=BIOL101; MUST REG FOR LAB,N
30702,BIOL 105,901,LAB: EVOLUTION,,0.00,18,18,Erin McCullough,T,01:25 PM - 04:05 PM,B123,,N
30703,BIOL 105,902,LAB: EVOLUTION,,0.00,18,18,Erin McCullough,T,06:00 PM - 08:40 PM,B123,,N
33772,BIOL 106,1,INTRO TO BIOSTATISTICS,FA,1.00,46,45,Kaitlyn Mathis,T,12:00 PM - 01:15 PM,B237,P=BIOL 101 & 102 & 1 SEMESTER OF CALCULUS (MATH 120 OR 124 OR BIOL 121); MUST REG FOR LAB,N
33773,BIOL 106,901,LAB: INTRO TO BIOSTATISTICS,FA,0.00,16,16,Kaitlyn Mathis,W,09:00 AM - 10:15 AM,B112,,N
33774,BIOL 106,902,LAB: INTRO TO BIOSTATISTICS,FA,0.00,15,15,Kaitlyn Mathis,W,10:25 AM - 11:40 AM,B112,,N
33775,BIOL 106,903,LAB: INTRO TO BIOSTATISTICS,FA,0.00,15,14,Kaitlyn Mathis,W,12:00 PM - 01:15 PM,B112,,N
30380,BIOL 109,1,MICROBIOLOGY,,1.00,33,31,Jamie Fitzgerald Boehm,MWF,09:00 AM - 09:50 AM,B237,P=BIOL 101 & BIOL 102; MUST REG FOR LAB,N
30381,BIOL 109,901,LAB: MICROBIOLOGY,,0.00,11,10,Jamie Fitzgerald Boehm,R,01:25 PM - 04:10 PM,B120,,N
30490,BIOL 109,902,LAB: MICROBIOLOGY,,0.00,11,11,Jamie Fitzgerald Boehm,F,01:25 PM - 04:10 PM,B120,,N
33135,BIOL 109,904,LAB: MICROBIOLOGY,,0.00,11,10,Jamie Fitzgerald Boehm,W,06:00 PM - 08:45 PM,B120,,N
31835,BIOL 111,1,COMPARATIVE & HUMAN ANATOMY,SP,1.00,20,18,Philip Bergmann,TR,09:00 AM - 10:15 AM,B237,P=BIOL 101 & BIOL 102; MUST REG FOR LAB,N
31836,BIOL 111,901,LAB: COMP & HUMAN ANATOMY,SP,0.00,10,10,Philip Bergmann,T,01:25 PM - 04:10 PM,B150,,N
31837,BIOL 111,902,LAB: COMP & HUMAN ANATOMY,SP,0.00,10,8,Philip Bergmann,R,01:25 PM - 04:10 PM,B150,,N
33759,BIOL 117,1,EPIDEMIOLOGY,,1.00,20,22,Jacqueline Dresch,TR,10:25 AM - 11:40 AM,B124,P=BIOL 101 & 102,N
30140,BIOL 118,1,GENETICS,,1.00,48,47,Robert Drewell,TR,10:25 AM - 11:40 AM,B237,P=BIOL 101 & BIOL 102; MUST REG FOR LAB,N
30141,BIOL 118,901,LAB: GENETICS,,0.00,12,12,Robert Drewell,T,01:25 PM - 04:10 PM,B121,,N
30142,BIOL 118,902,LAB: GENETICS,,0.00,12,13,Robert Drewell,R,01:25 PM - 04:10 PM,B121,,N
34158,BIOL 118,903,LAB: GENETICS,,0.00,12,12,Robert Drewell,T,06:00 PM - 08:45 PM,B121,,N
34159,BIOL 118,904,LAB: GENETICS,,0.00,12,10,Robert Drewell,R,06:00 PM - 08:45 PM,B121,,N
33422,BIOL 199,1,INTRO TO BIOLOGICAL RESEARCH,,Var,10,4,Kaitlyn Mathis,-,-,-,GRADED PASS/FAIL; P=BIOL 101 OR 102; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
33606,BIOL 199,2,INTRO TO BIOLOGICAL RESEARCH,,Var,10,2,David Hibbett,-,-,-,GRADED PASS/FAIL; P=BIOL 101 OR 102; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
33639,BIOL 199,3,INTRO TO BIOLOGICAL RESEARCH,,Var,10,0,Deborah Robertson,-,-,-,GRADED PASS/FAIL; P=BIOL 101 OR 102; MUST CHOOSE .25 OR .50 DURING REGISTRATION,Y
33663,BIOL 199,4,INTRO TO BIOLOGICAL RESEARCH,,Var,10,2,Neva Meyer,-,-,-,GRADED PASS/FAIL; P=BIOL 101 OR 102; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
34156,BIOL 199,5,INTRO TO BIOLOGICAL RESEARCH,,Var,10,1,Philip Bergmann,-,-,-,GRADED PASS/FAIL; P=BIOL 101 OR 102; MUST CHOOSE .25 OR .50 UNITS DURING REGISTRATION,Y
33760,BIOL 207,1,CONSERVATION BIOLOGY,,1.00,16,16,Elizabeth Bone,MW,04:15 PM - 05:30 PM,B112,P=BIOL 105 & 118,N
33762,BIOL 209,1,THE GENOME PROJECT,POP,1.00,12,10,Javier Tabima Restrepo,TR,10:25 AM - 11:40 AM,B355,P=BINF 101 OR BIOL123 OR MBB101; MUST REG FOR LAB,N
33763,BIOL 209,901,LAB: THE GENOME PROJECT,POP,0.00,6,5,Javier Tabima Restrepo,W,10:25 AM - 11:40 AM,B355,,N
33764,BIOL 209,902,LAB: THE GENOME PROJECT,POP,0.00,6,5,Javier Tabima Restrepo,R,09:00 AM - 10:15 AM,B355,,N
33768,BIOL 233,1,ANIMAL LOCOMOTION,,1.00,12,14,Philip Bergmann,M,02:50 PM - 05:50 PM,B124,P=BIOL 101 OR PERM,N
31845,BIOL 236,1,BIOLOGY OF CANCER,,1.00,16,18,Denis Larochelle,TR,09:00 AM - 10:15 AM,B124,P=BIOL 118,N
33770,BIOL 239,1,EVOLUTIONARY DEVLPMNTL BIOLOGY,,1.00,12,9,Neva Meyer,MW,12:00 PM - 01:15 PM,B355,P=BIOL 105 & 118 OR 221 OR PERM,N
33984,BIOL 251,1,"PLANTS, PEOPLE, AND FUNGI",,1.00,36,39,"David Hibbett, Morgan Ruelle",MW,12:00 PM - 01:15 PM,JC120,P=BIOL 102 & BIOL 101 OR EN 101 OR ID 125,N
33295,BIOL 269,1,RACE AND THE LIFE SCIENCES,,1.00,12,16,Elizabeth Bone,MW,12:00 PM - 01:15 PM,MACD310,P=BIOL 105 & 118; ANY DI COURSE RECOMMENDED,N
33122,BIOL 274,1,BIOLOGICAL DYNAMICS,,1.00,24,3,Jacqueline Dresch,TF,12:00 PM - 01:15 PM,B355,P=ONE BIOL COURSE (103-299) & ONE CALCULUS COURSE (BIOL 121 MATH 120 OR MATH 124),N
30565,BIOL 293,1,PEER LEARNING ASSISTANT,,Var,10,1,Elizabeth Bone,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32666,BIOL 293,2,PEER LEARNING ASSISTANT,,Var,10,1,Javier Tabima Restrepo,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30691,BIOL 293,3,PEER LEARNING ASSISTANT,,Var,10,0,Robert Drewell,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
33464,BIOL 293,4,PEER LEARNING ASSISTANT,,Var,10,1,Philip Bergmann,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30767,BIOL 293,5,PEER LEARNING ASSISTANT,,Var,10,0,Justin Thackeray,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30768,BIOL 293,6,PEER LEARNING ASSISTANT,,Var,10,2,Nathan Ahlgren,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30774,BIOL 293,7,PEER LEARNING ASSISTANT,,Var,10,0,Denis Larochelle,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
31027,BIOL 293,8,PEER LEARNING ASSISTANT,,Var,10,4,Kaitlyn Mathis,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
34253,BIOL 293,9,PEER LEARNING ASSISTANT,,Var,10,1,Neva Meyer,-,-,-,GRADED AS PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30301,BIOL 297,1,HONORS,,1.00,10,0,Justin Thackeray,-,-,-,,Y
30354,BIOL 297,2,HONORS,,1.00,10,0,Denis Larochelle,-,-,-,,Y
33366,BIOL 297,3,HONORS,,1.00,10,0,Javier Tabima Restrepo,-,-,-,,Y
30387,BIOL 297,4,HONORS,,1.00,10,0,Neva Meyer,-,-,-,,Y
30390,BIOL 297,5,HONORS,,1.00,10,0,Deborah Robertson,-,-,-,,Y
30405,BIOL 297,6,HONORS,,1.00,10,0,David Hibbett,-,-,-,,Y
31486,BIOL 297,7,HONORS,,1.00,10,0,Kaitlyn Mathis,-,-,-,,Y
30780,BIOL 297,10,HONORS,,1.00,10,0,Nathan Ahlgren,-,-,-,,Y
30850,BIOL 297,11,HONORS,,1.00,10,0,Robert Drewell,-,-,-,,Y
30439,BIOL 298,0,INTERNSHIP,,Var,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30447,BIOL 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
33761,BIOL 307,1,CONSERVATION BIOLOGY,,1.00,16,16,Elizabeth Bone,MW,04:15 PM - 05:30 PM,B112,,N
33765,BIOL 309,1,THE GENOME PROJECT,,1.00,12,10,Javier Tabima Restrepo,TR,10:25 AM - 11:40 AM,B355,MUST REG FOR LAB,N
33766,BIOL 309,901,LAB: THE GENOME PROJECT,,0.00,6,5,Javier Tabima Restrepo,W,10:25 AM - 11:40 AM,B355,,N
33767,BIOL 309,902,LAB: THE GENOME PROJECT,,0.00,6,5,Javier Tabima Restrepo,R,09:00 AM - 10:15 AM,B355,,N
30491,BIOL 317,1,RESEARCH,,Var,10,2,Neva Meyer,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30527,BIOL 317,2,RESEARCH,,Var,10,1,Philip Bergmann,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30567,BIOL 317,3,RESEARCH,,Var,10,0,Deborah Robertson,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30621,BIOL 317,4,RESEARCH,,Var,10,0,Robert Drewell,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30580,BIOL 317,5,RESEARCH,,Var,10,2,Javier Tabima Restrepo,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30585,BIOL 317,6,RESEARCH,,Var,10,0,Justin Thackeray,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30756,BIOL 317,7,RESEARCH,,Var,10,2,Nathan Ahlgren,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30757,BIOL 317,8,RESEARCH,,Var,10,2,David Hibbett,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30862,BIOL 317,9,RESEARCH,,Var,10,0,Denis Larochelle,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
31019,BIOL 317,10,RESEARCH,,Var,10,2,Kaitlyn Mathis,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
32620,BIOL 317,11,RESEARCH,,Var,10,2,Jacqueline Dresch,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
33333,BIOL 317,12,RESEARCH,,Var,10,1,Don Spratt,-,-,-,MUST CHOOSE NUMBER OR UNITS DURING REGISTRATION,Y
33376,BIOL 317,13,RESEARCH,,Var,10,2,Chandra Jack,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
33769,BIOL 333,1,ANIMAL LOCOMOTION,,1.00,12,14,Philip Bergmann,M,02:50 PM - 05:50 PM,B124,,N
31846,BIOL 336,1,BIOLOGY OF CANCER,,1.00,16,18,Denis Larochelle,TR,09:00 AM - 10:15 AM,B124,,N
33771,BIOL 339,1,EVOLUTIONARY DEVLPMNTL BIOLOGY,,1.00,12,9,Neva Meyer,MW,12:00 PM - 01:15 PM,B355,,N
30239,BIOL 350,1,GRADUATE RESEARCH SEMINAR,,1.00,40,21,Kaitlyn Mathis,W,03:00 PM - 04:00 PM,B237,,N
33296,BIOL 369,1,RACE AND THE LIFE SCIENCES,,1.00,12,16,Elizabeth Bone,MW,12:00 PM - 01:15 PM,MACD310,,N
33123,BIOL 374,1,BIOLOGICAL DYNAMICS,,1.00,24,3,Jacqueline Dresch,TF,12:00 PM - 01:15 PM,B355,,N
30635,BIOL 394,2,DISSERTATION WRITING,,3.00,10,0,Kaitlyn Mathis,-,-,-,,Y
30636,BIOL 394,3,DISSERTATION WRITING,,Var,5,0,David Hibbett,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30766,BIOL 394,4,DISSERTATION WRITING,,Var,10,0,Philip Bergmann,-,-,-,MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
